,220.4882
aroundand,173.0
aroundbut,133.5
aroundexcept,118.0
aroundone,156.0
aroundsailing,235.0
aroundsmiled,184.0
arouse,171.6588
aroused,159.68869
arouses,123.125
arousing,183.39297
arow,106.0
arpad,115.0
arpens,140.0
arphad,126.0
arphaxad,108.24805
arquati,229.0
arquebuseshot,192.0
arrage,148.0
arragon,150.39502
arrah,109.375
arraign,127.546875
arraignd,138.5
arraigned,147.5586
arraigning,107.0
arraignment,215.0
arraigns,135.0
arran,176.25
arrangd,98.0
arrange,127.83452
arrangebut,94.0
arranged,124.25302
arrangedsometimes,213.0
arrangement,134.44495
arrangements,153.66536
arrangementsdinah,150.0
arrangementsin,110.0
arrangementsleads,87.0
arrangementsomething,92.0
arrangementwho,186.0
arrangers,176.0
arranges,169.77979
arranging,132.93106
arrangingat,101.0
arrant,175.14287
arrantest,135.0
arras,126.799065
array,195.18718
arrayd,136.75
arrayed,149.00256
arraying,130.5
arrayment,110.75
arrays,127.0
arre,115.875
arrear,116.25
arrearages,124.0
arrears,138.45898
arrest,110.93326
arrested,119.56189
arresteddo,155.0
arresting,130.43756
arrests,120.40985
arrets,197.0
arrh,152.0
arria,130.25
arrian,160.0
arriba,186.0
arridens,152.0
arriero,126.0
arrigere,194.0
arripe,122.0
arripit,174.0
arrirepense,124.5
arris,95.0
arrises,111.0
arriva,156.0
arrival,95.72306
arrivalon,129.0
arrivals,173.90506
arrivalthat,164.0
arrivance,126.0
arrivd,115.208405
arrive,129.57463
arrived,140.8964
arrivederla,134.0
arrivedin,140.0
arrivedmrs,125.0
arrivedthat,125.0
arrivedthe,246.0
arrivedto,71.0
arrivee,175.0
arrives,191.40585
arrivesand,86.0
arriveshand,170.0
arriveth,102.0
arrivethe,184.5
arriving,128.32605
arrobas,104.0
arrobe,224.0
arrogance,124.930016
arrogancein,171.0
arrogancy,136.09375
arrogant,181.84302
arrogantiam,155.0
arrogantly,227.0
arrogate,112.9375
arrogating,208.0
arrondees,220.0
arrondissement,126.39258
arrondissements,83.0
arrow,121.182236
arrowfast,203.0
arrowhead,142.5
arrowheads,163.5
arrowlike,260.0
arrowroot,149.21875
arrows,117.93596
arrowslit,149.0
arrowsthings,198.0
arrowthats,97.0
arrowthough,141.0
arrowy,105.75
arroy,122.0
arruginated,116.0
arrula,124.0
arrum,109.0
ars,175.59583
arsacidean,144.375
arsacides,93.25
arse,135.96078
arsecheeks,203.5
arsed,167.0
arsefeel,212.0
arsefucking,157.5
arseglobes,104.0
arsehole,131.47165
arseholes,150.14062
arsenal,119.33117
arsenals,182.625
arsenic,143.17627
arsenicif,130.0
arsenicnot,174.0
arseny,102.6875
arsenys,141.0
arseone,134.0
arserough,211.0
arses,187.55078
arsewagging,235.5
arsewipe,212.0
arshin,128.0
arsing,242.0
arsinous,200.0
arsk,149.6875
arsked,150.0
arskin,156.0
arson,191.03125
arstein,154.5
arsyversybobs,267.0
art,127.275116
artabanus,159.0
artacia,160.0
artane,132.5
artaxerxes,200.74313
artbroidered,153.0
artbut,138.0
artcolours,182.0
arte,141.02435
artedi,294.0
artel,150.0
artels,80.0
artem,242.5
artemas,105.0
artemidorus,110.796875
artemis,168.125
artemisia,179.0
arter,119.56097
arterial,144.0
arteries,133.81018
arterwards,128.75
artery,134.75781
artes,207.25
artesian,184.0
artevelde,250.0
artfetters,139.0
artfor,180.0
artful,135.04872
artfull,109.0
artfully,142.20117
artfulness,139.75
artfuls,155.5
artha,151.8292
arthera,236.0
arthur,154.5332
arthurhow,112.0
arthuri,138.0
arthurian,215.0
arthurnot,162.0
arthurs,128.76346
arthurus,206.0
arti,101.0
artibus,142.0
artichoke,160.0
artichokes,206.5
article,147.52628
articleand,162.0
articled,152.75
articlemakes,228.0
articlemules,255.0
articles,132.54153
articlesleaving,325.0
articletreason,97.0
articulate,142.72397
articulated,167.16557
articulately,157.0
articulating,196.38867
articulation,145.8125
articulations,192.0
articulis,140.0
articulo,197.25
artifex,127.0
artifice,132.21606
artificea,111.0
artificer,165.9331
artificers,146.01562
artifices,146.83371
artificial,136.99745
artificialhollowwith,115.0
artificiali,118.0
artificialise,98.0
artificiality,155.21875
artificiall,109.26131
artificially,199.23798
artificialness,130.0
artifoni,193.32422
artifonis,180.0
artillerists,141.5
artillery,147.88539
artilleryman,121.79498
artillerymans,169.5
artillerymanwere,172.0
artillerymen,126.07703
artillerymens,208.0
artillerysergeant,80.0
artillerytrain,97.0
artin,160.0
artinstinct,120.0
artire,131.0
artis,182.5
artisan,155.82402
artisanon,154.0
artisans,198.66626
artist,123.61801
artista,96.0
artistadoration,158.0
artistand,129.0
artistdelight,78.0
artiste,148.96875
artistes,147.8003
artistgod,81.0
artisti,147.0
artistic,127.15117
artistical,230.0
artistically,134.77734
artistintoxication,110.0
artistis,174.0
artistry,72.0
artists,183.12564
artium,186.0
artizan,138.75
artless,143.20526
artlesslooking,153.0
artlessly,136.5
artlessness,145.13281
artlessor,187.0
artloving,205.0
artof,184.0
artois,142.5
artone,228.0
artonge,157.0
artor,157.0
artpeople,257.0
arts,126.84891
artsa,174.0
artsman,193.0
artthough,113.0
artto,133.0
artubus,143.0
artus,181.16846
artwhether,173.0
artwhither,159.0
arty,191.0
artybius,164.0
aruboth,92.0
arulala,197.0
arumah,179.0
arun,171.0
arundo,75.0
arunning,102.0
aruntius,188.0
arush,125.0
aruspices,134.5
aruspicina,169.0
arustling,138.0
arva,96.0
arvad,114.5
arvadite,91.0
arval,106.0
arve,140.0
arveiron,116.0
arviragus,117.65221
arvis,252.0
ary,116.0
arybas,118.0
aryou,121.0
arza,82.0
as,161.4856
asa,223.29929
asafter,239.0
asahel,183.5929
asahiah,122.0
asaiah,118.875
asailing,131.0
asaph,140.99199
asaphs,95.0
asareel,94.0
asarelah,130.0
asas,151.5
asawa,122.0
asayin,134.25
asaying,117.5
asayinpass,118.0
asbestic,93.0
asbestos,128.0
ascalaphus,111.875
ascall,139.0
ascania,117.0
ascanian,115.0
ascanio,149.0
ascanius,114.75
ascarides,171.0
ascend,169.47011
ascendancy,143.87877
ascendancynot,168.0
ascendant,135.83594
ascendants,206.0
ascended,178.0715
ascendency,153.38818
ascendeth,115.625
ascending,85.577545
ascendingfor,89.0
ascendingshe,178.0
ascends,103.968216
ascendwithregret,212.0
ascension,131.80075
ascensionday,102.5
ascensions,140.5
ascent,98.63645
ascents,189.125
ascertain,154.45384
ascertained,139.24275
ascertaining,103.2552
ascetic,170.39607
asceticism,132.0791
ascetics,147.8164
asch,205.0
ascii,154.66667
asclepiades,133.0
asclepiads,90.0
asclepius,149.60577
ascolta,151.0
ascot,127.0
ascraping,109.0
ascrewin,108.5
ascribable,193.0
ascribd,113.0
ascribe,157.50981
ascribed,118.551254
ascribes,133.3125
ascribeth,201.0
ascribing,122.46875
ascriptions,164.0
asculum,124.0
aseeking,118.0
asenath,173.75
asensio,133.0
aser,102.0
asetting,152.0
asfollows,196.0
ash,137.92072
ashaking,124.0
ashamd,103.88853
ashamed,91.611565
ashameda,162.0
ashamedbut,117.0
ashamedcome,79.0
ashamedoh,171.0
ashamedshe,120.0
ashan,144.125
ashantee,126.5
ashbea,132.0
ashbel,133.5
ashbelites,121.0
ashbox,115.0
ashchenaz,142.5
ashdod,120.982994
ashdodites,90.0
ashdothites,160.0
ashdothpisgah,142.25
ashe,216.0
ashen,166.28906
ashengrey,135.0
ashenshafts,103.0
asher,118.12652
asherites,139.0
ashes,122.844086
asheshorace,71.0
ashesin,162.0
ashesmind,233.0
ashford,150.0
ashfordpaddock,274.0
ashheap,73.0
ashholes,132.0
ashhopper,122.75
ashima,99.0
ashimah,126.75
ashining,72.0
ashiver,123.0
ashiverin,103.0
ashiverout,168.0
ashkelon,135.73438
ashkenaz,133.0
ashlydyat,95.0
ashnah,165.0
asho,135.0
ashooting,131.0
ashopping,139.0
ashore,124.31085
ashoreashore,95.0
ashoreasked,94.0
ashorell,119.0
ashorewith,309.0
ashouting,169.0
ashoutn,147.0
ashowing,117.0
ashpenaz,156.0
ashpiles,175.0
ashpinshaw,182.0
ashpit,99.0
ashpits,129.0
ashplant,122.326324
ashplanthandle,152.0
ashplants,244.0
ashputtel,105.37381
ashputtels,148.0
ashriel,112.0
ashtaroth,140.30176
ashterathite,171.0
ashteroth,203.0
ashton,129.0
ashtons,89.0
ashtoreth,132.0
ashtown,110.0
ashtray,166.1875
ashtrays,117.0
ashtree,95.0
ashur,137.5
ashurites,158.0
ashvath,130.0
ashwarrior,128.0
ashwednesday,123.0
ashwell,145.0
ashwood,133.0
ashworth,141.0
ashy,152.66528
asi,144.5
asia,126.72154
asian,131.75
asianamely,135.0
asias,134.0
asiatic,157.16797
asiaticof,109.0
asiatics,137.0
asiatique,181.0
asiawho,136.0
aside,144.80615
asidebroke,198.0
asideis,125.0
asides,114.0
asidesee,139.0
asidesirrah,100.0
asidethat,161.0
asidewell,132.0
asiel,157.0
asile,60.0
asin,135.0
asinarium,153.0
asinelli,129.5
asinen,80.0
asingin,108.0
asinging,177.0
asinine,136.75
asinius,172.0
asino,241.0
asinus,182.0
asis,126.0
asit,272.0
asitting,108.375
asius,137.96371
ask,123.49769
askance,144.49146
askant,149.0
askd,128.54257
askdbut,64.0
aske,108.375
asked,104.67091
askeddimly,182.0
askeddont,167.0
askedeven,180.0
askedhave,149.0
askedif,90.0
askednow,108.0
askedthat,150.0
askedwhat,89.0
askedwhats,99.0
askedwhere,100.0
askedwhy,161.0
askelon,99.5
askenazim,265.0
asker,75.0
askest,122.59375
asketh,101.798645
askew,167.25925
askhow,191.0
askif,179.0
asking,127.4883
askinghe,118.0
askingi,171.0
askingit,155.0
askings,107.0
askingwhat,74.0
askis,154.0
asklepiads,138.0
asklepius,160.0
askno,172.0
asks,110.910965
askst,126.5
askto,122.0
askwhy,121.0
aslant,134.3086
aslantwise,111.0
asleep,127.49748
asleepall,238.0
asleepan,146.0
asleepand,152.0
asleepas,107.0
asleepdying,110.0
asleephe,104.0
asleephes,106.0
asleeping,102.0
asleepon,175.0
asleepor,129.0
asleepsound,128.0
asleepstreet,155.0
asliding,112.0
aslipping,189.0
asll,167.25
aslope,257.0
asmath,166.0
asmay,157.0
asmear,179.0
asmiling,193.0
asmodeus,158.0
asmodeusthat,178.0
asmoking,71.0
asmuch,202.0
asnah,138.0
asnapper,144.0
asnieres,328.0
asnius,138.0
asnoring,99.0
asnot,154.0
asnuffling,125.0
asoka,67.0
asopus,123.25
asp,112.6875
aspa,126.0
asparagus,142.80914
asparagusso,156.0
aspasia,205.90625
aspatha,158.0
aspeaking,112.0
aspect,157.90686
aspectincomplete,180.0
aspects,117.64144
aspectshe,195.0
aspectthe,210.0
aspen,145.07956
aspenall,206.0
aspenand,223.0
aspens,135.5
asper,205.0
asperges,140.0
aspergills,133.0
asperities,132.875
asperity,122.079704
aspersa,161.0
asperse,117.5
aspersed,104.0
aspersion,133.875
aspersions,176.0
aspexi,118.0
asphalion,93.0
asphalt,94.0
asphalted,154.0
asphaltic,165.0
asphaltites,223.0
asphodel,129.59375
asphodelinterspersed,132.0
asphodels,131.0
asphytic,165.0
asphyxia,129.0
asphyxiating,231.0
aspic,127.75
aspiciam,165.0
aspiciendus,134.0
aspicient,152.0
aspicious,147.0
aspics,112.0
aspilates,169.0
aspinning,141.0
aspirant,133.94531
aspirants,166.0
aspirare,90.0
aspirate,153.0
aspirated,126.0
aspirates,89.0
aspiration,172.57962
aspirations,202.45619
aspirationsand,138.0
aspird,132.0
aspire,118.27171
aspireafter,112.0
aspired,119.333984
aspiredmiss,138.0
aspires,137.64941
aspiresis,179.0
aspiresthat,183.0
aspiring,110.96266
aspiringly,232.0
aspirings,153.0
aspledons,88.0
asprawl,120.0
asprawlin,54.0
asps,122.0
asquat,159.0
asquint,123.5625
asriel,116.0
asrielites,95.0
ass,138.62814
assa,59.0
assabeth,200.0
assaeus,137.0
assafoetida,112.0
assail,128.71216
assailable,155.0
assailant,128.58633
assailants,137.7362
assaild,139.5
assailed,137.72717
assailers,143.0
assaileth,138.0
assailing,124.8125
assailings,135.0
assails,146.94531
assamese,166.0
assaracus,134.5
assasin,115.0
assassin,118.44268
assassinate,123.04785
assassinated,171.1741
assassinatednot,84.0
assassinates,68.0
assassinating,112.5
assassination,133.10355
assassinations,154.75
assassins,96.441444
assassinsome,246.0
assassinthose,184.0
assault,131.822
assaulted,161.11665
assaulteth,134.0
assaulting,142.0625
assaults,179.8222
assaultsnot,111.0
assay,81.04627
assayd,117.625
assayed,155.15881
assaying,128.0
assays,129.125
assback,180.5
asscher,118.0
asscolt,76.0
asscolts,121.49609
asse,113.125
assegai,239.0
assegais,193.0
assemblage,122.91031
assemblages,166.875
assemblance,151.5
assemble,137.86546
assembled,118.989204
assembles,128.0
assemblie,116.0
assemblies,155.58453
assembling,145.78987
assembly,190.30989
assemblyconvention,104.0
assemblyes,176.0
assemblyroom,91.0
assemblys,135.5
assemblyseneca,121.0
assemblytribunal,183.0
assemblyyou,124.0
assensum,141.0
assent,118.26616
assentdo,180.0
assented,80.37243
assentedfar,165.0
assentiendi,139.5
assenting,138.99805
assentingly,148.5
assents,142.1875
assentthe,147.0
assequebantur,132.0
assert,115.11211
asserted,152.6006
assertedalas,130.0
asserters,183.0
asserting,149.00647
assertio,228.0
assertion,99.27171
assertionem,256.0
assertionexpose,131.0
assertions,156.05664
assertive,163.0
assertor,158.0
asserts,160.61678
asses,120.162506
assesfor,132.0
assess,157.0
assessd,165.0
assessed,92.5
assessing,170.0
assessment,129.0
assessments,155.0
assessor,117.0
assessors,179.84375
asset,169.8125
assets,188.0
asseverated,283.0
asseverates,134.0
asseveration,124.375
asseverations,153.0
assez,130.59375
asshe,107.0
asshead,122.0
asshur,99.921875
asshurim,131.0
assidue,138.25
assiduities,129.75
assiduity,156.7479
assiduous,175.60028
assiduously,156.68304
assiette,169.5
assign,168.2977
assignable,140.1875
assignat,147.0
assignation,137.20703
assignations,144.5
assignd,150.5664
assigne,94.0
assigned,121.18994
assignedyes,121.0
assigneth,130.0
assigning,121.20703
assignment,133.81836
assignments,148.25
assigns,118.23633
assimilate,114.36719
assimilated,148.57031
assimilates,125.34375
assimilating,163.40625
assimilation,176.45068
assimilations,114.0
assimilationthe,128.0
assimilative,182.0
assinico,111.0
assir,102.0625
assisi,101.0
assist,140.44524
assistance,134.80545
assistancehe,156.0
assistanceon,142.0
assistances,120.0
assistanceshall,112.0
assistant,175.84833
assistantmanager,134.0
assistants,134.9008
assistantsurgeon,156.0
assisted,144.31813
assistedthat,146.0
assister,157.0
assisting,124.72588
assists,152.68066
assizes,122.89127
associate,105.32535
associated,213.21497
associates,129.02216
associatesthe,129.0
associating,130.86684
association,128.62943
associations,123.52725
associators,173.75
assoiled,188.0
assonance,127.0
assoon,124.0
assoone,105.0
assort,173.0
assorted,141.60938
assorting,109.0
assortment,116.75
assortments,156.0
assos,116.5
assotted,126.5625
assoupire,127.0
asss,139.7987
asstrappings,182.0
assuage,121.281006
assuaged,165.625
assuaging,176.25
assubjugate,99.0
assuefaction,180.0
assuescunt,182.0
assumd,68.5
assume,108.24826
assumed,143.08945
assumes,145.69983
assuming,124.82805
assummon,136.5
assumption,190.51901
assumptionand,215.0
assumptionit,135.0
assumptions,117.98047
assunta,209.80322
assuntaconsole,85.0
assuntas,123.0
assur,148.5
assuralooms,151.0
assurance,131.98708
assuranceaugustine,116.0
assurances,112.47681
assurancesand,131.0
assurd,116.53494
assure,110.54724
assured,131.68954
assuredly,130.67139
assures,125.09356
assurgo,121.0
assuring,141.0533
asswage,132.0
asswaged,112.5
assyria,163.14122
assyrian,156.60426
assyrians,206.90112
assyriawhere,126.0
ast,99.0
astabat,200.0
astafieva,140.0
astanding,121.4375
astannin,76.25
astantibus,229.0
astapa,98.0
astar,106.0
astarboard,97.0
astaring,207.0
astaroth,114.5
astarte,117.0
asteracantha,261.0
asteria,113.0
asterian,116.0
asteris,172.0
asterisk,150.0
asterius,104.0
astern,114.484795
asternst,245.0
asteroid,215.0
asteropaeus,116.875
asteropeus,123.375
asters,157.5
asthma,117.35156
asthmatic,137.0
asthough,111.0
astigmia,73.0
astir,175.08032
astirring,152.0
astley,97.0
astleys,129.25
astolat,102.0
astolfos,159.0
astonied,113.224884
astonish,119.07544
astonishand,173.0
astonishd,79.59766
astonished,147.72667
astonishes,89.09143
astonishin,98.0
astonishing,133.70973
astonishinghe,110.0
astonishingly,161.0
astonishingno,215.0
astonishingshe,138.0
astonishment,118.4089
astonishmentbut,161.0
astonishmenti,159.0
astonishmentindeed,145.0
astonishmentmay,196.0
astonishments,114.5
astonishmentthat,108.0
astons,157.0
astor,149.5
astorre,171.0
astound,170.39062
astounded,177.61734
astounding,203.21777
astoundingly,150.5
astounds,101.8125
astr,145.0
astrachan,149.0
astraddle,138.375
astraea,133.0
astraeas,153.0
astrakhan,193.1875
astral,154.4375
astray,145.20529
astre,140.0
astrea,141.0
astric,122.0
astride,130.35893
astringit,98.0
astrolabe,110.5
astrologer,122.53125
astrologers,167.14166
astrological,206.5
astrologicallooking,126.0
astrologically,117.0
astrology,168.97725
astron,128.5
astronomer,125.05537
astronomers,149.37045
astronomerso,91.0
astronomical,250.23615
astronomically,157.0
astronomy,106.97649
astronomynil,268.0
astrorum,206.0
astroscopist,153.0
astudying,137.0
asturian,158.15625
asturianheld,85.0
asturias,98.75
astute,141.57153
astutely,162.0
astuteness,201.34375
astuter,110.0
astwide,105.5
astyages,205.0
astyalus,213.0
astyanax,128.34375
astydamas,108.0
astyllus,132.0
astynous,129.75
astyoche,102.0
astyochia,142.0
astyon,90.0
astyplus,135.0
asunder,189.14474
asundera,201.0
asunderthere,200.0
asunderthey,102.0
asuppim,83.5
aswell,233.0
aswelling,162.0
aswimming,126.5
aswimmingdernd,101.0
aswing,235.0
aswinging,93.0
asylum,133.63835
asylumonly,111.0
asylums,173.98438
asylumshow,168.0
asylumson,220.0
asymmetrical,135.0
asyncritus,158.0
at,161.69223
ata,234.0
atad,124.0
atafter,124.0
atala,107.5
atalanta,139.2016
atalantas,155.75
atalkin,127.25
atalking,94.5
atalltimesthin,167.0
atand,198.0
atarah,92.0
ataraxy,123.0
ataroth,144.0625
atarothadar,97.0
atarothaddar,119.0
atatatwheres,133.0
atatsome,150.0
atavism,120.96875
atavistic,247.5
ataxy,153.0
atbuy,202.0
atchieve,139.0
atchieved,192.0
ate,172.97328
atearin,198.0
atearing,136.0
atelier,158.65625
ateliera,108.0
atelling,74.0
ater,206.34375
aterwards,125.0
ates,116.5
athach,93.0
athaiah,188.0
athaliah,151.82718
athalie,143.0
athanatos,304.0
atharvana,111.0
atharvaveda,86.0
athats,82.0
athe,141.0
atheism,131.61346
atheisme,140.0
atheismis,130.0
atheist,92.172646
atheista,116.0
atheistic,148.125
atheistical,160.0
atheists,138.0857
atheistwretch,126.0
atheling,116.16433
athelingprince,138.0
athelings,87.625
athena,158.5
athenaeum,104.5
athenaeus,131.5
athene,151.26562
athenehow,220.0
athenian,83.38599
athenians,122.295044
atheniansdiogenes,118.0
athenianseneca,120.0
atheniansherod,110.0
athenis,224.0
athenm,126.0
athens,117.19383
athensall,226.0
athensit,102.0
athinking,132.0
athirst,128.08856
athlai,158.0
athlete,116.51782
athletes,192.87521
athletic,185.45421
athlone,259.0
athol,109.0
athos,151.97559
athreatening,126.0
athrill,156.0
athversary,137.75
athwart,132.0553
athwartships,146.0
atif,113.0
atiger,106.0
atin,253.0
atiptoe,149.0
atitudes,198.0
atkins,149.0
atkinson,95.25
atlanta,158.29022
atlantes,108.0
atlantic,109.02525
atlanticfairly,108.0
atlantics,190.0
atlantis,137.21875
atlas,136.08365
atman,93.5668
atmic,212.0
atmosphere,156.67043
atmospherehad,195.0
atmosphereif,71.0
atmosphereor,154.0
atmospheres,119.5
atmospheresall,143.0
atmospheric,163.32881
atmospherically,137.0
atmospherics,168.0
atocha,112.0
atoh,95.0
atolls,177.0
atom,102.162346
atomes,169.0
atomic,140.0
atomics,182.0
atomies,112.125
atomism,138.5
atomistic,197.0
atomon,101.0
atoms,104.920456
atomsthe,160.0
atomy,99.0
atone,128.12494
atoned,157.0819
atoneit,130.0
atonement,93.62482
atonementfor,139.0
atonements,146.0
atones,190.25
atoning,199.0586
atop,131.98828
ator,112.0
atque,197.21541
atr,178.0
atra,197.0
atrabilious,126.0
atrae,230.0
atrbatie,113.5
atre,96.0
atreasurehunting,118.0
atreatn,74.0
atreidae,122.0
atremblin,113.0
atrembling,131.5625
atreus,132.29471
atreuss,154.0
atri,96.0
atrickling,161.0
atridae,160.0
atrides,88.14735
atrocem,146.0
atrocious,129.65811
atrocioush,135.0
atrociously,158.75
atrocities,138.5625
atrocity,110.501595
atrophy,93.0
atropos,113.79297
atrot,175.0
atroth,144.0
atrusting,172.0
atrying,96.5
ats,132.25
atshire,97.0
att,159.0
attach,110.20358
attachd,86.5
attache,158.5
attached,185.42961
attachedand,95.0
attacheddo,66.0
attachedhis,122.0
attachedmutual,141.0
attaches,128.08936
attaching,136.95277
attachment,144.06389
attachmenti,120.0
attachments,141.71829
attachmentwhether,159.0
attack,133.16985
attackd,145.96875
attacked,122.19247
attackemployed,101.0
attacker,146.0
attackers,83.0
attackfoiled,169.0
attacking,148.19215
attackknew,108.0
attacks,151.33643
attacksas,219.0
attackvery,104.0
attai,162.875
attain,150.28659
attainable,181.03311
attainablethat,163.0
attaind,74.9375
attainder,133.21777
attained,149.31876
attaineth,138.0
attaining,144.42917
attainment,131.67511
attainments,121.212585
attainmentsspoke,184.0
attains,127.69706
attaint,123.20703
attainted,101.09375
attainture,184.0
attalia,87.0
attalus,105.25
attamen,212.0
attar,64.0
attarofrose,111.0
attayned,121.5
attemper,89.0
attempers,136.0
attempt,145.85014
attemptable,121.0
attemptbut,185.0
attempted,138.74617
attempteth,123.0
attempti,98.0
attempting,147.03195
attempts,141.57889
attempttry,126.0
atten,170.0
attend,95.51722
attendance,115.37741
attendances,152.0
attendant,153.18132
attendantdemons,89.0
attendants,100.48732
attendantso,92.0
attendantyou,102.0
attended,131.28056
attendents,156.0
attender,126.0
attendeth,111.25
attendez,173.0
attending,105.04806
attendre,122.0
attends,170.95131
attendst,96.0
attent,164.75
attentat,141.0
attentatum,259.0
attention,115.873795
attentionand,170.0
attentionas,137.0
attentionit,181.0
attentions,127.190834
attentionshe,173.0
attentionsthat,215.0
attentionthat,184.0
attentionthe,133.0
attentionto,172.0
attentive,129.97495
attentively,193.13408
attentivelyas,120.0
attentivelyif,133.0
attentivelymore,147.0
attentivenes,157.0
attentiveness,112.0
attenuate,133.0
attenuated,176.82812
attenuatedwas,227.0
attenuating,141.0
attenuation,199.0
attest,158.06982
attestation,96.21875
attestations,122.0
attested,158.14072
attesting,124.84375
attests,127.5
atteynder,115.0
atteyning,118.0
atthat,120.0
atthere,80.0
atthey,141.0
attic,93.761566
attica,164.5
attici,274.0
attics,142.89844
atticus,143.5625
atticushis,104.0
atticway,188.0
atticwindows,101.0
attigit,253.0
attila,106.75
attilas,216.0
attilius,123.0
attird,92.5
attire,97.1977
attired,181.78473
attires,149.25
attiring,129.0
attitude,91.58281
attitudeis,145.0
attitudes,134.20189
attitudeshe,144.0
attitudetoward,203.0
attitudevery,222.0
attius,210.0
atto,131.0
attollitur,209.0
attonita,76.0
attonitus,202.0
attorney,114.115875
attorneyd,90.0
attorneyed,205.0
attorneygeneral,106.55821
attorneygenerals,90.0
attorneys,108.259766
attorneysgeneral,125.0
attorneyship,92.0
attorneywho,123.0
attouchements,154.0
attract,116.95444
attracta,114.0
attracted,138.16208
attracting,137.20558
attraction,111.88431
attractionhighbury,125.0
attractions,132.26665
attractionthis,116.0
attractis,216.0
attractive,177.27853
attractively,96.0
attractiveness,117.05078
attracts,172.03531
attributable,121.505516
attribute,112.81949
attributed,113.163216
attributes,173.45471
attributeslove,192.0
attributeth,186.5
attributing,152.88779
attribution,150.0
attributive,112.0
attrita,109.0
attriti,104.0
attritio,171.0
attrition,157.0
attucks,140.0
attuned,149.59375
attuning,119.0
atty,155.5
atu,139.5
atune,96.0
aturnin,80.0
aturning,177.0
atwain,157.0
atween,107.0
atwhat,147.0
atwo,118.0
atwood,114.5
atwriting,171.0
atymnius,130.0
au,187.22873
aubepinesto,151.0
auber,120.0
aubert,192.0
aubertchalme,107.0
aubervilliers,233.5
aubiers,243.0
aubigny,135.75
aubignys,160.0
aubrey,163.09375
aubreys,157.0
aubry,199.5
aubryleboucher,118.5
auburn,128.95581
auch,195.0
auckland,73.0
auct,164.0
auctifer,203.0
auctificas,207.0
auction,166.24614
auctioneer,119.21484
auctioneers,152.5625
auctionhaw,130.0
auctionrooms,163.0
auctions,150.5
auctor,92.0
auctoramento,85.0
auctore,142.0
auctori,101.0
auctoritas,180.0
auctoritate,134.0
aucun,189.0
aud,110.375
audacious,161.18364
audaciously,161.625
audacities,138.0
audacity,123.863205
audacterque,146.0
audate,89.0
auddalaka,86.0
auddalika,105.0
aude,139.0
audeat,165.0
auderent,139.0
audhra,126.0
audiam,125.0
audible,96.69675
audiblea,203.0
audibly,151.66211
audience,124.96892
audienceand,100.0
audiencechamber,220.0
audiencehall,167.0
audiencelooked,162.0
audiences,148.9375
audiencethis,131.0
audiendum,199.0
audierit,159.0
audiero,282.0
audily,141.0
audincourt,102.0
audiri,166.0
audis,140.0
audit,157.71094
audited,166.0
auditing,183.75
auditive,79.0
auditively,251.0
auditor,145.66272
auditories,198.0
auditorium,114.25
auditors,219.36209
auditory,119.29584
auditoryidem,181.0
auditress,122.0
auditum,215.0
audley,132.375
audrey,108.42541
audry,165.0
auersperg,161.67676
auerspergs,211.0
auerstadt,136.0
auferinrar,177.0
aufert,137.0
aufidi,126.0
aufidius,123.88022
aufidiuses,110.0
aufidus,179.5
aufklarung,166.0
aug,113.875
augean,139.0
augen,125.0
auger,122.375
augerhole,86.0
augers,129.5
augescunt,208.0
augesd,139.5625
augezd,143.0
aughrim,116.125
aught,108.224625
aughts,136.5
aughty,220.0
augia,137.0
augias,178.0
augment,117.659546
augmentation,142.96747
augmentations,182.94531
augmented,154.95981
augmenting,163.80296
augments,152.5
augrh,129.0
augsburg,117.0625
augur,146.79297
augurandarum,137.0
augurative,281.0
augured,165.21875
augurer,73.5
augurers,99.75
augures,187.5
auguries,154.25
auguring,92.0
augurs,161.0
augury,122.06432
augurycicero,100.0
august,107.08732
augusta,141.88199
augustanother,91.875
augustat,63.0
auguste,165.2077
augusthe,101.0
augusti,133.0
augustin,159.84912
augustine,115.56844
augustinein,134.0
augustineplace,102.0
augustines,106.8125
augustineso,221.0
augustinesthere,155.0
augustinian,119.68164
augustins,162.0
augustinus,173.0
augustjoy,156.0
augustlucy,171.0
augustmy,152.0
augustno,161.0
auguston,95.0
augustrose,86.0
augusts,159.0
auguststill,87.0
auguststrange,104.0
augustthe,162.5
augusttwo,82.0
augustus,177.04857
augustusthis,133.0
aujourdhuy,211.0
auks,125.75
aukward,110.0
aul,147.625
aula,161.0
aulaeis,131.0
auld,144.33984
aulic,248.0
aulis,111.1875
aulisfor,199.0
aulus,167.1875
aum,184.5
aumarais,142.9375
aumbries,99.0
aumerle,156.74045
aunchient,160.08594
aungier,144.5
aunt,134.10945
auntanywhere,140.0
aunte,184.0
aunti,133.0
auntie,116.36905
auntiecertain,77.0
auntiei,84.0
aunties,123.25
auntin,122.0
auntit,116.0
auntmother,141.0
aunts,136.02162
auntsister,121.0
auntsnursemaid,156.0
auntsstiva,231.0
auntthat,95.0
auntthe,109.0
aunty,112.668625
auntyd,186.0
auntyou,137.0
auntyyou,116.0
auoir,88.0
aupamishadika,64.0
auparishtaka,140.79492
aura,177.875
auras,158.75
aurea,171.5
aurel,102.0
aurelian,119.0
aurelius,155.09766
aureliusmore,142.0
aurem,200.0
aureola,227.0
